xid        iau_name           ra       dec    poserr  s0520         s_err0520    cts_0520 cts_err_0520  L_0520  bkg_cts_0520  exptime_0520  s210          s_err210      cts_210  cts_err_210  L_210   bkg_cts_210  exptime_210  s510          s_err510      cts_510  cts_err_510 L_510   bkg_cts_510  exptime_510 
   5324  XMMU_J095806.0+024441 149.525140  2.744850     1.38           0.85           0.06      252             17   326.39           0.37          28.48           1.36           0.28        78            11    46.89          0.47         27.96          -0.53           0.00         0            0    -1.00         -1.00          0.00
   5325  XMMU_J100218.5+024603 150.577435  2.767627     2.17           0.16           0.03       63             11    28.41           0.76          37.37          -1.47           0.00         0             0    -1.00         -1.00          0.00          -1.25           0.00         0            0    -1.00         -1.00          0.00
   5326  XMMU_J095840.5+015948 149.668958  1.996715     1.48           0.26           0.03      122             14    68.48           1.44          44.40           1.30           0.25       124            17    35.70          2.40         46.19          -0.86           0.00         0            0    -1.00         -1.00          0.00
   5328  XMMU_J100154.0+025308 150.475185  2.885717     2.26           0.27           0.05       62             11    22.91           0.70          22.07          -2.85           0.00         0             0    -1.00         -1.00          0.00          -3.44           0.00         0            0    -1.00         -1.00          0.00
   5329  XMMU_J095732.8+023608 149.387071  2.602460     1.80           0.72           0.10       97             12    64.28           0.34          12.84          -1.40           0.00         0             0    -1.00         -1.00          0.00          -1.41           0.00         0            0    -1.00         -1.00          0.00
   5330  XMMU_J095930.1+024125 149.875620  2.690494     1.30           0.70           0.05      298             19   335.22           1.04          40.98           1.29           0.24       112            15    56.59          1.46         42.14          -1.63           0.00         0            0    -1.00         -1.00          0.00
   5331  XMMU_J100226.0+024611 150.608403  2.769818     1.44           0.46           0.04      199             16   171.94           1.10          41.78           0.59           0.20        51            12    11.00          1.48         42.51          -1.58           0.00         0            0    -1.00         -1.00          0.00
   5332  XMMU_J095837.8+024913 149.657871  2.820314     2.01           0.14           0.03       65             12    27.87           0.86          45.49           0.53           0.17        50            11    15.03          1.14         46.23          -0.31           0.00         0            0    -1.00         -1.00          0.00
   5334  XMMU_J100152.4+024922 150.468338  2.823012     2.30           0.18           0.03       64             11    22.64           1.13          35.27          -2.52           0.00         0             0    -1.00         -1.00          0.00          -2.46           0.00         0            0    -1.00         -1.00          0.00
   5335  XMMU_J095937.4+022348 149.905931  2.396708     1.75           0.18           0.02      122             15    57.72           1.53          63.99          -0.19           0.00         0             0    -1.00         -1.00          0.00          -0.54           0.00         0            0    -1.00         -1.00          0.00
   5336  XMMU_J095843.0+023256 149.679531  2.548951     1.59           0.20           0.02      141             16    63.08           2.18          69.37           0.65           0.16        93            16    18.85          2.75         70.06          -0.29           0.00         0            0    -1.00         -1.00          0.00
   5338  XMMU_J095808.2+015423 149.534191  1.906445     1.34           0.56           0.04      249             18   226.09           1.17          42.83           1.37           0.23       124            15    52.13          1.77         44.30          -1.51           0.26        36           11     6.50          1.40         37.67
   5339  XMMU_J095927.9+020139 149.866289  2.027661     1.90           0.18           0.02      102             14    46.21           1.31          54.70          -0.44           0.00         0             0    -1.00         -1.00          0.00          -0.01           0.00         0            0    -1.00         -1.00          0.00
   5341  XMMU_J095842.5+024402 149.677494  2.734052     1.95           0.15           0.02       94             13    45.43           1.13          60.71           0.35           0.13        44            11    11.19          1.47         62.51          -0.06           0.00         0            0    -1.00         -1.00          0.00
   5342  XMMU_J095837.2+025408 149.655257  2.902493     2.18           0.33           0.04       79              8    53.85           0.77          23.36          -1.55           0.00         0             0    -1.00         -1.00          0.00          -1.75           0.00         0            0    -1.00         -1.00          0.00
   5343  XMMU_J095829.2+025027 149.621793  2.840879     1.47           0.53           0.04      206             14   220.75           0.78          37.18           1.30           0.24        98            13    55.69          1.01         36.79          -0.90           0.00         0            0    -1.00         -1.00          0.00
   5345  XMMU_J100220.3+020452 150.584647  2.081176     2.09           0.19           0.03       75             11    31.32           0.93          38.72          -0.53           0.00         0             0    -1.00         -1.00          0.00          -0.08           0.00         0            0    -1.00         -1.00          0.00
   5347  XMMU_J095840.6+021003 149.669389  2.167757     1.93           0.20           0.03       90             14    24.07           1.61          42.20          -1.10           0.00         0             0    -1.00         -1.00          0.00          -1.33           0.00         0            0    -1.00         -1.00          0.00
   5348  XMMU_J100228.0+022858 150.616993  2.482926     1.69           0.28           0.04       96             12    65.35           0.96          33.48           0.77           0.24        53            12    14.62          1.28         33.69          -0.78           0.00         0            0    -1.00         -1.00          0.00
   5349  XMMU_J095833.4+020010 149.639276  2.002966     1.49           0.23           0.03      104             14    39.52           1.41          43.93           1.18           0.23       112            16    30.67          2.22         46.04          -0.65           0.00         0            0    -1.00         -1.00          0.00
   5350  XMMU_J100257.3+022351 150.738859  2.397765     1.81           0.23           0.04       70             11    53.83           0.94          30.04          -0.01           0.00         0             0    -1.00         -1.00          0.00          -0.07           0.00         0            0    -1.00         -1.00          0.00
   5352  XMMU_J100008.1+024553 150.033819  2.764988     1.80           0.45           0.04      148             14    95.95           0.59          31.73          -0.39           0.00         0             0    -1.00         -1.00          0.00          -0.01           0.00         0            0    -1.00         -1.00          0.00
   5354  XMMU_J095755.1+025337 149.479668  2.893779     2.38           0.28           0.06       44              9    18.64           0.44          15.05           1.59           0.49        45            10    15.83          0.65         13.85          -1.58           0.00         0            0    -1.00         -1.00          0.00
   5355  XMMU_J095842.3+020038 149.676401  2.010781     1.67           0.29           0.03      145             16    72.10           1.68          47.17           0.80           0.23        81            17    11.80          2.78         49.30          -1.15           0.00         0            0    -1.00         -1.00          0.00
   5357  XMMU_J095809.2+024316 149.538417  2.721331     2.09           0.08           0.02       34              8    12.39           0.69          41.77           0.99           0.20        87            12    44.86          0.90         43.21           0.90           0.20        42            9    15.29          0.76         39.42
   5358  XMMU_J100222.0+021034 150.592015  2.176317     1.74           0.11           0.02       64             12    26.61           1.25          54.71           0.56           0.16        64            13    16.83          1.70         56.40          -1.07           0.00         0            0    -1.00         -1.00          0.00
   5359  XMMU_J100154.3+024237 150.476422  2.710300     1.86           0.20           0.03       83             12    42.11           1.06          39.24          -2.40           0.00         0             0    -1.00         -1.00          0.00          -1.83           0.00         0            0    -1.00         -1.00          0.00
   5361  XMMU_J100106.0+013433 150.275174  1.576055     1.64           0.47           0.05      154             15   113.18           0.90          31.51          -1.29           0.00         0             0    -1.00         -1.00          0.00          -1.58           0.00         0            0    -1.00         -1.00          0.00
   5363  XMMU_J100040.1+024608 150.167310  2.769035     1.75           0.27           0.03      108             12    70.09           0.97          38.51          -1.43           0.00         0             0    -1.00         -1.00          0.00          -1.75           0.00         0            0    -1.00         -1.00          0.00
   5364  XMMU_J100009.2+025256 150.038377  2.882493     1.78           0.73           0.08      105             11    84.85           0.39          13.87           1.31           0.44        37             9    10.86          0.63         13.99          -1.63           0.00         0            0    -1.00         -1.00          0.00
   5366  XMMU_J095748.9+015309 149.453919  1.886063     1.75           0.37           0.05       89             11    83.32           0.79          23.10          -0.70           0.00         0             0    -1.00         -1.00          0.00          -0.26           0.00         0            0    -1.00         -1.00          0.00
   5368  XMMU_J095934.0+023443 149.891705  2.578687     1.54           0.33           0.02      178             13   126.70           1.20          51.91           0.89           0.12        94             9    35.01          1.59         51.27          -0.76           0.00         0            0    -1.00         -1.00          0.00
   5369  XMMU_J100304.7+021215 150.769629  2.204197     1.79           0.41           0.05       86             10    64.90           0.57          19.87           1.73           0.39        69            11    32.58          0.77         19.52          -2.05           0.00         0            0    -1.00         -1.00          0.00
   5370  XMMU_J100307.8+021135 150.782725  2.193100     1.34           1.56           0.09      304             18   444.70           0.55          18.74           3.84           0.55       145            15   108.87          0.83         18.36           3.34           0.63        61           11    24.18          0.71         15.11
   5372  XMMU_J095826.3+024427 149.609700  2.740983     1.47           0.25           0.03      156             15   132.81           1.01          59.31           0.41           0.12        50            11    16.46          1.32         60.86          -0.29           0.00         0            0    -1.00         -1.00          0.00
   5373  XMMU_J100016.4+023724 150.068412  2.623413     1.82           0.29           0.03      129             14    72.99           1.04          42.13          -0.52           0.00         0             0    -1.00         -1.00          0.00          -0.77           0.00         0            0    -1.00         -1.00          0.00
   5374  XMMU_J100036.2+013616 150.151231  1.604447     1.89           0.23           0.03       85             12    38.65           1.11          34.82          -1.48           0.23        42            11     7.23          1.52         34.48          -1.50           0.00         0            0    -1.00         -1.00          0.00
   5377  XMMU_J095826.5+024231 149.610569  2.708848     1.84           0.09           0.01       59              7    19.64           1.10          62.25           0.40           0.07        53             7    19.50          1.43         64.07          -0.52           0.00         0            0    -1.00         -1.00          0.00
   5378  XMMU_J095913.8+023844 149.807808  2.645657     1.24           0.60           0.04      327             20   330.69           1.26          52.52           1.03           0.20       113            16    40.67          1.77         53.77          -1.09           0.00         0            0    -1.00         -1.00          0.00
   5380  XMMU_J100111.8+014702 150.299565  1.783914     1.56           0.30           0.03      203             17   125.77           1.80          65.51          -0.86           0.16        69            15     9.79          2.52         66.16          -0.47           0.00         0            0    -1.00         -1.00          0.00
   5382  XMMU_J100145.6+024212 150.440006  2.703517     2.07           0.11           0.02       48              9    18.10           1.10          40.44          -2.11           0.00         0             0    -1.00         -1.00          0.00          -2.33           0.00         0            0    -1.00         -1.00          0.00
   5384  XMMU_J100304.1+024421 150.767154  2.739254     1.20           1.74           0.09      446             22   690.60           0.75          24.59           2.80           0.42       142            15    86.68          1.06         24.63           1.73           0.42        44           10    12.66          0.79         21.15
   5385  XMMU_J100214.2+021037 150.559359  2.177026     1.44           0.27           0.03      167             16   110.26           1.49          58.42           0.71           0.17        88            15    27.72          2.03         60.33          -0.64           0.19        42           12     6.44          1.59         52.53
   5386  XMMU_J095809.3+020533 149.538831  2.092503     2.02           0.29           0.05       81             12    36.89           0.99          26.91          -0.16           0.00         0             0    -1.00         -1.00          0.00          -0.31           0.00         0            0    -1.00         -1.00          0.00
   5387  XMMU_J100240.4+023101 150.668446  2.516996     1.77           0.24           0.03       94             12    51.27           1.15          37.85           0.57           0.20        45            11    10.17          1.60         38.17          -0.31           0.00         0            0    -1.00         -1.00          0.00
   5388  XMMU_J095833.3+025019 149.638955  2.838756     1.35           0.61           0.04      260             18   296.44           0.84          40.78           0.80           0.19        67            11    31.40          1.13         40.53          -0.39           0.00         0            0    -1.00         -1.00          0.00
   5390  XMMU_J100306.6+022729 150.777862  2.458146     2.19           0.32           0.06       45              9    24.33           0.40          13.49          -3.55           0.00         0             0    -1.00         -1.00          0.00          -2.34           0.00         0            0    -1.00         -1.00          0.00
   5393  XMMU_J095805.6+025503 149.523729  2.917582     2.06           0.36           0.05       71             10    41.22           0.58          19.30          -1.75           0.39        41            10     9.37          0.85         18.42          -1.25           0.00         0            0    -1.00         -1.00          0.00
   5394  XMMU_J100312.1+024313 150.800525  2.720361     1.86           0.52           0.06      113             12    82.75           0.71          20.69           1.28           0.36        53            11    15.85          1.03         20.52          -1.16           0.00         0            0    -1.00         -1.00          0.00
   5395  XMMU_J100258.4+021013 150.743669  2.170412     1.37           0.56           0.06      136             13   123.27           0.58          23.35           3.36           0.45       162            16   120.82          0.89         23.43           2.04           0.45        48           10    12.53          0.68         19.90
   5396  XMMU_J095935.4+013059 149.897527  1.516636     1.64           1.81           0.18      112             11   127.47           0.37           5.96           3.59           0.96        44             8    22.05          0.62          6.04          -0.31           0.00         0            0    -1.00         -1.00          0.00
   5397  XMMU_J095938.3+013016 149.909856  1.504660     2.09           1.21           0.15       68              8    56.48           0.36           5.47          -3.66           0.00         0             0    -1.00         -1.00          0.00          -3.81           0.00         0            0    -1.00         -1.00          0.00
   5400  XMMU_J100244.0+024022 150.683743  2.672877     1.20           0.37           0.04      153             15   127.84           1.13          40.21           4.97           0.38       424            24   431.05          1.55         41.40           3.16           0.35       140           15    85.31          1.17         36.89
   5401  XMMU_J100303.7+021051 150.765641  2.180868     2.13           0.24           0.04       49              9    25.03           0.57          19.77           1.68           0.40        67            11    31.88          0.84         19.53          -3.01           0.50        33            9     8.21          0.71         16.30
   5402  XMMU_J100157.8+015435 150.491070  1.909949     1.91           0.16           0.03       79             13    27.13           1.36          47.94          -0.68           0.00         0             0    -1.00         -1.00          0.00          -1.06           0.00         0            0    -1.00         -1.00          0.00
   5404  XMMU_J095842.0+015858 149.675338  1.982837     1.16           1.16           0.06      525             24   694.62           1.42          43.20           2.00           0.26       187            17   113.51          2.21         45.42           1.46           0.28        67           12    16.70          1.70         38.27
   5405  XMMU_J095959.5+024647 149.998268  2.779791     2.71           0.16           0.03       53             11    23.41           0.81          31.84          -0.25           0.00         0             0    -1.00         -1.00          0.00          -0.27           0.00         0            0    -1.00         -1.00          0.00
   5406  XMMU_J100222.0+020741 150.591788  2.128276     2.26           0.14           0.03       71             12    21.62           1.14          47.31          -0.23           0.00         0             0    -1.00         -1.00          0.00          -0.43           0.00         0            0    -1.00         -1.00          0.00
   5408  XMMU_J100208.1+015709 150.534125  1.952583     1.89           0.14           0.02       66             12    21.06           1.32          46.76          -0.60           0.00         0             0    -1.00         -1.00          0.00          -0.44           0.00         0            0    -1.00         -1.00          0.00
   5409  XMMU_J100232.8+014817 150.636763  1.804900     2.05          -0.30           0.00        0              0    -1.00          -1.00           0.00           0.80           0.19        83            14    24.77          1.68         50.71          -1.56           0.00         0            0    -1.00         -1.00          0.00
   5410  XMMU_J095757.2+023922 149.488689  2.656377     2.22           0.18           0.03       72             12    31.40           1.17          37.70          -0.86           0.00         0             0    -1.00         -1.00          0.00          -0.53           0.00         0            0    -1.00         -1.00          0.00
   5411  XMMU_J095838.9+021609 149.662426  2.269358     1.65           0.34           0.04      143             15    68.96           1.73          40.69           0.81           0.22        69            13    24.12          2.62         41.39          -0.65           0.00         0            0    -1.00         -1.00          0.00
   5412  XMMU_J100209.6+015810 150.540374  1.969562     1.98           0.24           0.03       98             13    35.96           1.16          39.42           0.70           0.20        59            12    10.86          1.69         41.46          -0.85           0.00         0            0    -1.00         -1.00          0.00
   5413  XMMU_J095753.8+025509 149.474511  2.919173     1.44           1.72           0.14      185             14   237.75           0.32          10.31           1.83           0.59        33             8    12.96          0.44          8.99          -0.01           0.00         0            0    -1.00         -1.00          0.00
   5414  XMMU_J100223.0+022009 150.596005  2.335884     1.50           0.32           0.03      142             14   100.64           1.02          42.41           1.08           0.21        95            13    38.18          1.36         42.88          -0.85           0.00         0            0    -1.00         -1.00          0.00
   5415  XMMU_J100120.1+020341 150.333842  2.061653     1.56           0.34           0.03      167             16    93.10           1.41          47.79           1.07           0.22       107            16    30.41          2.04         48.81          -1.19           0.15        56            7     8.68          1.54         42.04
   5416  XMMU_J095725.9+024501 149.358159  2.750320     1.58           1.90           0.15      198             16   243.38           0.32           9.98           3.27           0.76        58            10    31.98          0.44          8.68          -3.31           0.00         0            0    -1.00         -1.00          0.00
   5417  XMMU_J100301.7+024311 150.757318  2.719957     1.94           0.29           0.04       79             11    53.27           0.78          25.93          -1.11           0.00         0             0    -1.00         -1.00          0.00          -1.19           0.00         0            0    -1.00         -1.00          0.00
   5420  XMMU_J095839.4+021836 149.664422  2.310013     1.84           0.20           0.03       91             15    25.32           1.80          43.66           0.83           0.23        75            15    16.48          2.67         43.72          -1.35           0.00         0            0    -1.00         -1.00          0.00
   5421  XMMU_J095953.8+013836 149.974224  1.643361     2.15           0.25           0.04       62             10    28.28           0.85          24.22          -0.79           0.00         0             0    -1.00         -1.00          0.00          -1.03           0.00         0            0    -1.00         -1.00          0.00
   5424  XMMU_J095906.5+014141 149.777489  1.694985     1.73           0.37           0.04      107             12    61.78           0.95          27.61          -0.73           0.25        39            10     7.42          1.44         28.35          -0.81           0.00         0            0    -1.00         -1.00          0.00
   5425  XMMU_J100236.6+025157 150.652702  2.866051     2.01           0.27           0.04       59              9    33.13           0.66          20.98          -1.35           0.00         0             0    -1.00         -1.00          0.00          -2.30           0.00         0            0    -1.00         -1.00          0.00
   5426  XMMU_J095907.3+023945 149.780453  2.662618     1.55           0.23           0.02      161             16    94.82           1.44          65.72           0.50           0.15        68            14    11.17          2.03         65.94          -0.75           0.00         0            0    -1.00         -1.00          0.00
   5427  XMMU_J100003.7+023956 150.015547  2.665699     1.58          -0.15           0.00        0              0    -1.00          -1.00           0.00           1.69           0.24       176            18    84.52          1.87         50.90           1.36           0.28        70           14    15.79          1.51         43.06
   5428  XMMU_J100213.3+022209 150.555642  2.369174     2.15           0.19           0.03       90             13    42.02           1.04          45.12          -0.55           0.00         0             0    -1.00         -1.00          0.00          -0.25           0.00         0            0    -1.00         -1.00          0.00
   5429  XMMU_J095845.6+024634 149.690252  2.776333     1.20           0.93           0.05      448             23   592.92           1.00          45.99           1.40           0.22       134            15    70.11          1.46         46.90           0.90           0.22        45           10    11.66          1.10         41.60
   5430  XMMU_J100023.4+024807 150.097840  2.802137     1.76           0.30           0.04       84             10    68.34           0.63          26.94          -1.04           0.23        34             9     8.03          0.88         27.90          -0.77           0.00         0            0    -1.00         -1.00          0.00
   5431  XMMU_J100219.4+021315 150.581203  2.220937     1.55           0.30           0.02      154             12   113.46           1.08          50.08           0.66           0.17        71            13    20.36          1.39         52.63          -0.77           0.00         0            0    -1.00         -1.00          0.00
   5432  XMMU_J100217.5+021211 150.573075  2.203299     2.13           0.15           0.02       77             12    29.81           1.07          50.48           0.62           0.16        67            13    16.00          1.37         52.90          -0.71           0.00         0            0    -1.00         -1.00          0.00
   5433  XMMU_J100240.2+025239 150.667670  2.877536     1.51           0.73           0.07      148             14   142.39           0.65          19.42           1.78           0.43        70            12    29.11          0.93         19.05          -2.07           0.00         0            0    -1.00         -1.00          0.00
   5434  XMMU_J095801.4+014833 149.506006  1.809262     1.41           0.75           0.05      262             17   283.70           0.90          33.35           1.30           0.28        90            14    32.68          1.37         33.88          -1.09           0.00         0            0    -1.00         -1.00          0.00
   5435  XMMU_J095848.5+025244 149.702284  2.878991     1.20           1.23           0.06      431             22   555.31           0.86          33.73           2.33           0.34       157            17    97.52          1.21         32.75           1.33           0.35        43           11    11.89          1.02         27.18
   5437  XMMU_J100223.2+023704 150.596884  2.617941     1.65           0.29           0.03      124             14    67.91           1.21          41.18           0.66           0.21        55            12    10.91          1.67         41.26          -1.18           0.00         0            0    -1.00         -1.00          0.00
   5438  XMMU_J100258.5+021204 150.743751  2.201151     1.36           1.01           0.07      252             17   314.65           0.60          23.76           2.44           0.38       119            13    76.34          0.85         23.87          -1.92           0.00         0            0    -1.00         -1.00          0.00
   5440  XMMU_J095856.9+020354 149.737339  2.065134     1.50           0.38           0.03      222             19   144.42           1.84          56.77           0.57           0.17        66            15    10.51          2.99         57.20          -0.37           0.00         0            0    -1.00         -1.00          0.00
   5441  XMMU_J100128.5+014732 150.369029  1.792244     1.71           0.18           0.02      115             14    52.37           1.48          61.89           0.76           0.17        97            16    17.98          2.11         61.86          -0.94           0.00         0            0    -1.00         -1.00          0.00
   5443  XMMU_J095947.4+013851 149.947826  1.647554     1.82          -0.14           0.00        0              0    -1.00          -1.00           0.00           3.94           0.49       202            18   125.87          1.38         24.97           3.15           0.55        77           13    25.77          1.02         20.48
   5445  XMMU_J100209.4+023232 150.539356  2.542263     1.56           0.23           0.03      153             16    74.44           1.85          63.86           0.76           0.18        98            17    21.57          2.46         62.69          -1.70           0.00         0            0    -1.00         -1.00          0.00
   5447  XMMU_J095933.6+024056 149.890161  2.682489     1.43           0.69           0.05      281             19   284.72           0.94          39.06           0.93           0.23        77            14    21.36          1.40         40.37          -0.80           0.00         0            0    -1.00         -1.00          0.00
   5448  XMMU_J100306.9+023122 150.779007  2.522828     1.43           0.86           0.09      114             11   130.84           0.40          12.71           3.12           0.57        81            10    57.30          0.56         12.64           2.89           0.66        36            8    13.53          0.45         10.43
   5450  XMMU_J095837.9+025256 149.658211  2.882424     2.25           0.17           0.03       55             10    26.38           0.80          31.79          -1.02           0.00         0             0    -1.00         -1.00          0.00          -0.75           0.00         0            0    -1.00         -1.00          0.00
   5452  XMMU_J095802.3+024753 149.510000  2.798266     1.99           0.27           0.04       89             12    52.76           0.64          32.15           0.63           0.21        42            10    11.98          0.88         32.49          -1.14           0.00         0            0    -1.00         -1.00          0.00
   5453  XMMU_J100037.2+024950 150.155219  2.830768     1.45           0.56           0.05      158             15   125.26           0.68          26.90          -3.53           0.28        38            11     9.58          1.01         27.26          -2.58           0.00         0            0    -1.00         -1.00          0.00
   5454  XMMU_J095801.6+023727 149.506976  2.624331     2.15           0.16           0.03       73             12    34.36           1.31          45.21          -0.77           0.00         0             0    -1.00         -1.00          0.00          -1.19           0.00         0            0    -1.00         -1.00          0.00
   5456  XMMU_J095851.2+024120 149.713555  2.689024     2.04           0.11           0.02       60             10    36.09           1.06          52.57          -0.37           0.00         0             0    -1.00         -1.00          0.00          -0.08           0.00         0            0    -1.00         -1.00          0.00
   5457  XMMU_J100034.3+023622 150.143041  2.606189     2.09           0.16           0.02       80              8    37.82           1.21          48.64          -0.94           0.00         0             0    -1.00         -1.00          0.00          -1.30           0.00         0            0    -1.00         -1.00          0.00
   5460  XMMU_J095856.1+024128 149.733814  2.691331     1.76           0.16           0.02       93             12    61.41           1.27          56.08          -0.48           0.00         0             0    -1.00         -1.00          0.00          -0.40           0.00         0            0    -1.00         -1.00          0.00
   5461  XMMU_J095918.7+014650 149.828304  1.780804     1.90           0.37           0.03      119             10    46.66           1.07          31.19           0.94           0.16        61             7    11.40          1.74         31.68          -1.26           0.00         0            0    -1.00         -1.00          0.00
   5462  XMMU_J095851.6+021757 149.715319  2.299393     2.14           0.11           0.02       66             14    16.09           2.10          56.49          -0.72           0.00         0             0    -1.00         -1.00          0.00          -0.84           0.00         0            0    -1.00         -1.00          0.00
   5463  XMMU_J095820.4+024322 149.585311  2.723053     2.37           0.09           0.02       47             10    18.18           0.91          52.59          -0.69           0.13        39            10     8.31          1.16         56.16          -0.33           0.00         0            0    -1.00         -1.00          0.00
   5464  XMMU_J095817.8+020505 149.574573  2.084739     1.89           0.28           0.04       82             11    38.46           1.00          28.32          -1.30           0.00         0             0    -1.00         -1.00          0.00          -1.42           0.00         0            0    -1.00         -1.00          0.00
   5465  XMMU_J095815.2+023746 149.563540  2.629640     1.56           0.23           0.03      134             15   101.48           1.40          54.74           0.56           0.16        64            13    14.59          1.70         55.36          -0.12           0.00         0            0    -1.00         -1.00          0.00
   5467  XMMU_J100234.3+023145 150.643089  2.529302     1.77           0.16           0.03       67             12    23.06           1.17          39.58           0.92           0.22        76            13    27.66          1.61         40.07          -0.35           0.00         0            0    -1.00         -1.00          0.00
   5468  XMMU_J100252.7+025427 150.719969  2.907649     1.57           3.17           0.26      193             16   324.56           0.21           5.86           3.15           0.85        40             8    20.81          0.32          6.27          -4.03           0.00         0            0    -1.00         -1.00          0.00
   5469  XMMU_J100147.9+021909 150.449659  2.319398     1.76           0.13           0.02       98             15    30.16           1.86          74.40          -1.17           0.14        65            15     9.23          2.68         74.43          -1.07           0.00         0            0    -1.00         -1.00          0.00
   5470  XMMU_J095744.3+025357 149.434981  2.899303     2.12           0.63           0.10       66             10    48.39           0.32          10.09          -1.42           0.00         0             0    -1.00         -1.00          0.00          -2.25           0.00         0            0    -1.00         -1.00          0.00
   5471  XMMU_J100024.2+024420 150.101233  2.739035     2.54           0.14           0.03       44              9    21.41           0.69          31.04          -0.22           0.00         0             0    -1.00         -1.00          0.00          -0.43           0.00         0            0    -1.00         -1.00          0.00
   5472  XMMU_J100212.2+024557 150.551234  2.765858     1.66           0.27           0.03      123             14    70.59           1.26          44.77          -1.42           0.17        39            11     7.26          1.76         45.40          -1.64           0.00         0            0    -1.00         -1.00          0.00
   5474  XMMU_J100046.5+024412 150.194123  2.736799     1.92          -0.08           0.00        0              0    -1.00          -1.00           0.00           0.75           0.17        73            12    29.33          1.25         47.74          -1.70           0.20        30            9     6.50          1.01         42.12
   5476  XMMU_J095813.3+020536 149.555707  2.093429     1.30           1.22           0.08      319             19   382.50           0.93          24.96           1.38           0.32        74            12    26.79          1.60         26.35          -0.81           0.00         0            0    -1.00         -1.00          0.00
   5477  XMMU_J100223.6+023821 150.598493  2.639391     1.84           0.19           0.02       92              9    43.21           1.35          47.27          -0.90           0.00         0             0    -1.00         -1.00          0.00          -0.93           0.00         0            0    -1.00         -1.00          0.00
   5478  XMMU_J100135.1+014409 150.396260  1.735838     1.95           0.13           0.02       80             13    25.82           1.43          59.38          -0.56           0.00         0             0    -1.00         -1.00          0.00          -0.49           0.00         0            0    -1.00         -1.00          0.00
   5479  XMMU_J095921.3+023214 149.839165  2.537340     1.70           0.18           0.02       93             13    58.34           1.23          50.41          -0.49           0.15        42            11     7.72          1.56         51.40          -0.27           0.00         0            0    -1.00         -1.00          0.00
   5481  XMMU_J100044.4+025325 150.185212  2.890431     1.99           0.54           0.07       88             11    60.70           0.50          15.77           1.34           0.42        42             9    11.42          0.80         15.55          -3.16           0.00         0            0    -1.00         -1.00          0.00
   5482  XMMU_J095923.0+022853 149.846046  2.481581     1.60           0.17           0.02      108             10    55.08           1.55          60.96           0.50           0.14        63            12    18.54          1.91         62.10          -0.24           0.00         0            0    -1.00         -1.00          0.00
   5483  XMMU_J100223.8+022354 150.599400  2.398368     1.85           0.20           0.03       87             12    42.76           1.05          42.26          -0.67           0.00         0             0    -1.00         -1.00          0.00          -0.46           0.00         0            0    -1.00         -1.00          0.00
   5484  XMMU_J100251.4+021849 150.714244  2.313642     1.27           0.82           0.05      304             19   362.97           0.97          35.58           2.14           0.31       156            16    87.98          1.38         35.43          -0.43           0.28        34           10     6.10          1.13         29.92
   5485  XMMU_J100249.8+021732 150.707828  2.292423     1.06           1.63           0.07      632             27   921.70           1.00          37.06           2.42           0.31       184            17   118.74          1.40         37.06          -0.81           0.30        43           11     7.61          1.16         31.60
   5487  XMMU_J095823.4+024811 149.597781  2.803078     1.65           0.40           0.04      176             15   166.25           0.68          41.63           0.48           0.17        42            11    11.13          0.90         42.50          -0.01           0.00         0            0    -1.00         -1.00          0.00
   5488  XMMU_J095842.0+015442 149.675017  1.911840     1.43           0.16           0.03       91             14    34.84           1.61          55.68           1.75           0.22       205            19   100.99          2.41         57.04          -1.24           0.24        59           13     8.01          1.95         48.16
   5489  XMMU_J095830.8+022952 149.628558  2.497837     2.35           0.17           0.03      104             15    39.38           1.76          58.08          -0.03           0.00         0             0    -1.00         -1.00          0.00          -0.14           0.00         0            0    -1.00         -1.00          0.00
   5490  XMMU_J095820.3+015929 149.584923  1.991400     1.46           0.56           0.05      191             16   156.31           0.93          32.48           1.14           0.27        83            14    26.02          1.53         35.28          -0.46           0.00         0            0    -1.00         -1.00          0.00
   5492  XMMU_J095759.4+024656 149.497895  2.782228     1.26           1.06           0.07      351             23   455.74           0.64          31.77           3.10           0.36       204            17   168.08          0.88         31.94           1.89           0.35        63           11    24.22          0.75         27.88
   5493  XMMU_J095806.2+020112 149.526043  2.020224     1.43           0.53           0.05      152             14   135.40           0.90          27.85           1.40           0.30        84            13    28.66          1.49         29.12          -1.47           0.00         0            0    -1.00         -1.00          0.00
   5496  XMMU_J100249.0+013855 150.704353  1.648794     1.85           0.22           0.04       60             10    30.99           0.61          26.74           2.85           0.37       167            16   125.65          0.83         28.50           2.83           0.41        83           12    47.52          0.67         24.45
   5497  XMMU_J095921.1+024412 149.838150  2.736754     1.54           0.44           0.04      147             13   130.89           0.63          31.88           0.76           0.22        52            11    19.80          0.83         33.67          -0.66           0.00         0            0    -1.00         -1.00          0.00
   5500  XMMU_J095849.0+013220 149.704442  1.539064     0.89          58.40           0.62     8769             93 32470.10           0.60          14.38          66.70           2.25      1919            47  4061.10          0.87         13.96          26.90           1.67       357           21   403.57          0.70         10.99
   5501  XMMU_J100319.0+022541 150.829352  2.428062     1.47           2.49           0.20      181             14   266.33           0.26           6.95           4.85           0.93        69             9    57.58          0.39          6.97          -2.42           0.00         0            0    -1.00         -1.00          0.00
