xid        iau_name           ra       dec    poserr  s0520         s_err0520    cts_0520 cts_err_0520  L_0520  bkg_cts_0520  exptime_0520  s210          s_err210      cts_210  cts_err_210  L_210   bkg_cts_210  exptime_210  s510          s_err510      cts_510  cts_err_510 L_510   bkg_cts_510  exptime_510 
     61  XMMU_J100029.7+022129 150.123759  2.358311     1.22           1.20           0.06      595             28   704.56           0.92          47.42           1.24           0.20       119            14    62.32          1.10         47.13          -1.26           0.21        41           10     8.27          0.96         42.11
     62  XMMU_J100018.1+020451 150.075500  2.081067     1.20           0.85           0.05      426             23   536.27           0.95          47.98           1.91           0.24       189            17   128.49          1.22         47.97           1.21           0.25        61           12    14.59          1.02         41.90
     63  XMMU_J095907.7+020819 149.782219  2.138771     1.15           0.96           0.05      501             26   751.83           1.56          49.88           2.40           0.28       250            21   300.14          2.43         50.67           1.83           0.29        94           15    33.25          1.88         42.88
     64  XMMU_J095934.5+020627 149.893829  2.107657     1.15           0.96           0.05      536             25   709.63           1.15          53.42           1.92           0.23       210            18   146.04          1.52         53.40           1.01           0.26        56           14    15.65          1.25         46.79
     65  XMMU_J100041.7+022410 150.174015  2.403038     1.12           0.72           0.04      497             25   535.83           1.42          65.91           1.61           0.20       216            19   124.85          1.90         65.33           1.14           0.21        78           14    20.70          1.58         57.24
     66  XMMU_J095928.3+021950 149.868182  2.330652     1.16           1.08           0.05      624             27   882.13           1.17          55.10           1.56           0.16       176            13    96.92          1.52         54.91          -1.34           0.00         0            0    -1.00         -1.00          0.00
     67  XMMU_J100137.7+022843 150.407125  2.478798     1.17           0.71           0.04      388             22   413.99           1.18          52.71           1.46           0.21       162            17    90.91          1.40         54.02          -2.90           0.00         0            0    -1.00         -1.00          0.00
     68  XMMU_J100010.2+020347 150.042638  2.063255     1.13           0.82           0.04      532             25   628.57           1.53          62.07           1.59           0.21       202            19   111.48          2.12         61.83          -0.35           0.21        50           12     6.81          1.76         51.37
     69  XMMU_J095934.7+021028 149.894984  2.174665     1.12           0.84           0.05      412             22   525.56           0.94          47.28           1.62           0.23       161            17   112.66          1.27         48.45          -1.29           0.00         0            0    -1.00         -1.00          0.00
     70  XMMU_J100036.0+022830 150.150227  2.475232     1.21           0.14           0.02       78             12    32.40           1.07          54.26           3.99           0.30       449            25   508.53          1.35         54.74           2.23           0.25       133           15    86.82          1.14         49.43
     71  XMMU_J095949.3+023007 149.955587  2.502109     1.10           1.34           0.05      705             28  1140.38           1.16          50.60           2.97           0.27       314            21   295.76          1.49         51.40           1.59           0.26        85           13    34.20          1.23         44.69
     72  XMMU_J100129.7+023238 150.374018  2.544068     1.20           0.69           0.04      411             22   470.46           1.19          56.98           1.38           0.19       165            16   100.34          1.41         57.94          -2.64           0.16        39           10     8.69          1.15         52.21
     74  XMMU_J100147.9+021447 150.449626  2.246403     1.03           1.84           0.05     1301             37  2236.51           1.73          67.61           2.38           0.22       338            23   234.12          2.32         68.92           1.26           0.21        90           14    25.57          1.83         59.86
     75  XMMU_J100031.6+014756 150.131687  1.799079     1.08           1.46           0.05      891             29  1321.33           1.56          58.35           2.54           0.20       304            17   202.44          2.06         58.18           1.58           0.16        96            9    26.98          1.67         50.53
     76  XMMU_J100056.2+022144 150.234535  2.362349     1.17           0.88           0.04      735             32   704.03           1.98          79.87           1.30           0.18       211            21    79.51          2.67         78.84          -2.25           0.19        62           15     9.35          2.18         66.03
     78  XMMU_J100028.6+021744 150.119239  2.295714     1.22           0.73           0.04      429             22   536.39           1.06          56.35           1.65           0.21       192            18   118.45          1.31         56.63           0.91           0.21        55           12    10.65          1.10         50.55
     79  XMMU_J100124.8+022031 150.353750  2.342173     1.16           1.25           0.05      652             25   930.74           1.25          49.81           2.10           0.24       221            18   150.81          1.68         51.17           1.03           0.14        54            7    13.28          1.22         44.14
     80  XMMU_J100136.7+022324 150.402981  2.390017     1.19           0.65           0.04      423             23   443.63           1.60          62.71           1.00           0.18       130            17    59.23          2.06         63.39          -1.79           0.00         0            0    -1.00         -1.00          0.00
     81  XMMU_J100105.5+015602 150.273180  1.934008     1.08           1.41           0.05      839             31  1174.60           1.47          56.90           3.58           0.29       418            25   331.28          2.07         56.75           2.01           0.28       119           16    49.22          1.64         49.03
     82  XMMU_J100129.3+022739 150.372231  2.461075     1.11           1.30           0.05      594             24   478.89           0.84          43.88           2.03           0.29       187            19   107.06          0.81         44.72           3.23           0.25       166           12    66.07          0.67         42.70
     83  XMMU_J100124.4+024040 150.351800  2.677885     1.23           0.75           0.03      461             21   528.95           1.40          59.16           1.51           0.22       182            19    83.38          1.87         58.65          -1.87           0.00         0            0    -1.00         -1.00          0.00
     84  XMMU_J100111.9+023024 150.299751  2.506879     1.28           0.60           0.03      377             21   416.63           1.25          60.13           0.98           0.16       123            15    50.72          1.46         61.61          -2.13           0.00         0            0    -1.00         -1.00          0.00
     85  XMMU_J100117.6+023308 150.323665  2.552396     1.35           0.41           0.03      257             18   280.67           1.34          60.34           0.65           0.15        82            13    27.76          1.62         61.47          -1.89           0.00         0            0    -1.00         -1.00          0.00
     86  XMMU_J100202.2+024157 150.509174  2.699219     1.13           1.64           0.07      709             28  1053.03           1.14          41.29           2.17           0.29       181            18   104.24          1.44         40.67          -3.63           0.29        48           12     8.11          1.26         36.08
