 IAU_ID               CID     XRA          XDec F(0.5-2_keV)  F(2-10_keV) F(0.5-10_keV)  RA            Dec    Capak_ID   Ilber_ID   ORA       ODec       i_mag    i_mag_err  KRA         KDec      K_mag    K_mag_err  Irac_RA   Irac_Dec  F(3.6micron) F(3.6micron)err ID_flag  Star_flag Offnu_flag z_spec     z_spec_class z_sepc_qual z_spec_or  z_phot  z_phot_class XMMID   
  CXOC100053.8+020620  51       150.22432   2.105686   2.39E-15      4.31E-15      8.11E-15      150.22434    2.105607   1239247    769078     150.22434    2.105607   21.11    0.01        150.224361   2.10561    19.93     0.01        150.224411   2.105645   48.44            0.15             1         -99       -99          0.74     2            4               4         0.713    3            382    
  CXOC100054.6+020653  52       150.2275    2.114612   2.96E-15      8.48E-15      1.12E-14      150.22757    2.114501   1199664    742607     150.22757    2.114501   23.72    0.03        150.227594   2.114505   21.76     0.03        150.227563   2.114571   16.4             0.12             1         -99       -99          -99.0    -99          -99             -99       1.054    3            156    
  CXOC100122.5+020827  53       150.3436    2.140771   5.28E-15      1.12E-14      1.92E-14      150.34372    2.140668   1595510    991710     150.34372    2.140668   24.67    0.06        150.343737   2.140638   21.53     0.02        150.343691   2.140624   17.1             0.11             1         -99       -99          2.414    2            3               6         1.753    3            2543   
  CXOC100114.8+020209  54       150.31186   2.035761   1.29E-14      3.2E-14       4.89E-14      150.31193    2.035749   1217579    754529     150.31193    2.035749   21.16    0.01        150.311939   2.035741   19.14     0.01        150.311916   2.035748   139.33           0.25             1         -99       -99          0.971    1            4               6         0.96     1            40     
  CXOC100116.3+020319  55       150.31803   2.055207   3.86E-15      1.27E-14      1.66E-14      150.3181     2.055169   1212746    751436     150.3181     2.055169   23.53    0.03        150.318127   2.055199   22.19     0.05        150.318097   2.055233   9.01             0.11             1         -99       -99          1.808    -99          4               7         1.367    3            531    
  CXOC100117.6+020602  56       150.3234    2.100497   1.15E-15      3.97E-15      4.64E-15      150.32356    2.100418   1204101    743803     150.32356    2.100418   22.27    0.02        -99.0        -99.0      -99.0     -99.0       150.323553   2.100418   72.8             0.49             1         -99       -99          1.081    2            4               7         1.065    2            2622   
  CXOC100117.8+020521  57       150.32413   2.089067   1.45E-15      5.21E-15      6.43E-15      150.32424    2.089075   1205317    746332     150.32424    2.089075   22.88    0.02        150.324275   2.089066   21.43     0.02        150.324222   2.089076   14.64            0.1              1         -99       -99          1.797    1            4               6         1.786    1            53584  
  CXOC100118.4+020540  58       150.32686   2.094306   3.01E-15      9.75E-15      1.38E-14      150.32689    2.094148   1205083    745673     150.32689    2.094148   23.37    0.03        150.326914   2.094176   21.97     0.04        150.326867   2.09416    10.7             0.1              1         -99       -99          -99.0    -99          -99             -99       2.822    1            53583  
  CXOC100118.8+020731  59       150.32821   2.125152   3.59E-15      5.4E-15       1.22E-14      150.32827    2.124965   1234393    741069     150.32827    2.124965   22.33    0.02        150.328286   2.124951   21.17     0.02        150.328236   2.124953   24.5             0.13             1         -99       -99          1.78     1            3               5         1.764    1            391    
  CXOC100120.2+020341  60       150.33433   2.061413   3.38E-15      1.1E-14       1.38E-14      150.33437    2.061445   1211404    750521     150.33437    2.061445   20.39    0.03        150.334406   2.061452   19.43     0.01        150.334355   2.061467   157.59           0.24             1         -99       -99          0.906    1            4               2         0.906    1            5415   
